102.02.19 15:51 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.cpp <--  /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.cpp
102.02.19 15:51 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.h <--  /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.h
102.02.19 18:10 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.cpp --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.cpp
102.02.19 18:10 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.h --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.h
102.02.19 18:10 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\WS_FTP.LOG --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap WS_FTP.LOG
102.02.19 18:11 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.cpp --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.cpp
102.02.19 18:11 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.h --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.h
102.02.19 18:11 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\WS_FTP.LOG --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap WS_FTP.LOG
102.02.19 18:49 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.cpp --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.cpp
102.02.19 18:49 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\heap.h --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap heap.h
102.02.19 18:49 B d:\Users\billy\EXPERIMENTS FOR CNN VLDB 2002 (MAY NOT CONTAIN FINAL VERSIONS)\CNN\v0.3 (FOR KNN)\heap\WS_FTP.LOG --> 143.89.43.116 /c:/Documents and Settings/qmshen/My Documents/EXPERIMENTS FOR CNN VLDB 2002/CNN/v0.3 (FOR KNN)/heap WS_FTP.LOG
